country_code,country_name,year,year_trend,control_corruption,political_stability,rule_of_law,homicide_rate_log,exports_percent_gdp,fdi_percent_gdp,gdp_growth,gdp_per_capita_log,inflation,population_log,tourist_arrivals_log,unemployment,rule_of_law_hat,fdi_hat,tourism_hat
GTM,Guatemala,2004,4,35.8246135,49.8931273,41.5842466,3.5887990696380303,27.4194097089723,1.36317570702825,3.13791683609193,8.086473061160998,7.57862247309729,16.365533842999678,13.982719322971512,2.971,42.27810041716844,2.7483883268161584,14.186060960044024
GTM,Guatemala,2005,5,34.9110624,50.4675832,41.1657718,3.7325759542819616,25.454901513817,2.01617500337249,3.27602692588886,8.097064004165896,9.1086498571922,16.387177990845878,14.09010815074553,3.059,41.555228807659354,2.651920975471011,14.175581267719545
GTM,Guatemala,2006,6,34.7665824,50.9033246,41.0857386,3.8072139691721794,25.3398334344627,2.13587522888421,5.35139778711536,8.128039338557464,6.56085282795384,16.408333878659867,14.222308777084956,2.96,41.29973782201272,2.5386517402306055,14.166540107226986
GTM,Guatemala,2007,7,35.460776,51.6469157,41.0928415,3.769198734776126,25.9805176037841,2.55959192771149,6.33771869016203,8.168423567117761,6.82161753590326,16.429399518978073,14.302863439795049,2.847,42.06491758622278,2.6660480874526833,14.183685242843739
GTM,Guatemala,2008,8,38.5427601,52.6221145,40.6894949,3.8319387786932673,25.1243459208619,1.89952208705823,3.29352400028485,8.180300877715307,11.355761126315,16.449926705364902,14.354924221672386,2.898,44.005741667306694,2.550622983370676,14.190901647095364
GTM,Guatemala,2009,9,37.4860387,52.2082581,41.2801954,3.843964932798318,24.3678264820599,1.34627822535543,0.476898106596394,8.165133943672892,1.85910254733028,16.46985128490819,14.086301525522051,3.22,42.854183681186626,2.323780002714855,14.164567167145583
GTM,Guatemala,2010,10,35.2860247,52.0388513,41.4796434,3.740122069808806,26.2254643341594,2.71030706792051,2.88417542800377,8.173751956179775,3.8595090983316,16.489666931498903,14.140489137702843,3.497,42.307840619142915,2.8441917137129877,14.200120021665041
GTM,Guatemala,2011,11,36.6847937,53.0292715,39.1893325,3.673907157417328,27.0677057848772,1.87038244023626,4.16390688293349,8.194608817793403,6.214123930671,16.50960557013072,14.17597899749153,3.169,43.61577990797861,2.999063963970155,14.223767979777795
GTM,Guatemala,2012,12,32.2842052,53.6642168,40.422741,3.559980082302225,25.267092636425,2.82256297187213,2.97470856847661,8.204008174640052,3.78180754679678,16.52951943749493,14.21495826443746,2.765,41.34523566969011,3.329116443830749,14.235634058322885
GTM,Guatemala,2013,13,33.2766314,53.3610765,39.1168875,3.5410048973625563,21.9981664670011,2.87216286478145,3.69481894978053,8.220754121817835,4.34337131279521,16.54905545640493,14.231586504814842,3.017,41.70113417057884,3.17663848021029,14.225459214542962
GTM,Guatemala,2014,14,30.2285619,53.4202728,40.4388382,3.54088947661255,21.7443606885213,2.43302117698753,4.44397783368888,8.245283643012058,3.4183616966296,16.56800657959068,14.368821368379384,2.717,40.00197927423399,3.356131914521633,14.227915719396613
GTM,Guatemala,2017,17,29.9629181,53.9242978,40.596175,3.5206227432668133,18.4950394164293,1.39328931381397,3.07985126948702,8.28721145752381,4.42453655182546,16.622944871550697,14.566927118346197,2.462,39.85669328930294,3.345347389277684,14.227651290728982
GTM,Guatemala,2018,18,28.1792179,54.2170508,40.0835439,3.397977006549938,18.1693258488802,1.25790065429015,3.40687348346576,8.304052478764707,3.75186186704508,16.63960509888172,14.693476591144272,2.283,39.21284936128972,3.6312091591559135,14.24604398423668
GTM,Guatemala,2019,19,27.5352234,54.0326157,39.6565997,3.293671554091285,17.6119727745274,1.51707073546928,4.01789785040324,8.328238976301511,3.69998398008605,16.654811394407012,14.75551820708067,2.193,39.058179815511764,3.794040279419402,14.256876866124884
GTM,Guatemala,2020,20,25.5915523,56.2626186,40.3404859,2.9542999875095446,16.3436118075967,1.29230382378627,-1.78555175063326,8.295508354645456,3.21444062197345,16.669525165461664,13.29463628184505,2.965,39.46288875854677,4.61480407123654,14.329083070638307
HND,Honduras,2000,0,26.7639136,59.6687239,35.9375044,3.897595883689192,53.972182998888,4.8698431531529,9.61221881702615,6.996282513319912,11.0480349344976,15.6992067961664,13.442998001373551,3.883,39.46944527171547,3.992881085482491,14.292014172910278
HND,Honduras,2002,2,25.385038,60.1190581,41.5566406,3.9743064679097855,52.730582054494,3.6562173778393,3.75433786119939,7.032182551355526,7.69050972034271,15.752647909744407,13.577254637874743,4.02,38.54343080314973,3.9626326403777217,14.28484656300661
HND,Honduras,2003,3,26.8279275,55.9184893,39.888118,4.064080867680794,54.0940274951722,4.74055553954205,4.54703805165397,7.052791658169877,7.67416639397937,15.778307743570991,13.695601388686796,5.3,38.65757667339941,3.7271417123930135,14.254822175255732
HND,Honduras,2004,4,27.8174511,55.3012132,42.8684267,3.9290016931847194,58.4229834527808,6.67606399673031,6.23230296069102,7.1026145377233485,8.1137909709338,15.803247088403015,13.841179279371246,5.99,40.09836049602885,4.197904625360856,14.29858764613159
HND,Honduras,2005,5,28.6746335,54.9385161,44.7406001,3.783066845506501,59.0058417153113,6.16028277171203,6.05059922215973,7.173728708369963,8.80906074819819,15.827523405978662,13.927052827151163,4.909,40.72528413318496,4.249917003793712,14.305672260314221
HND,Honduras,2006,6,28.9166008,54.7563767,41.9251493,3.731023832395714,56.0546420538277,6.57287305327357,6.56724355177587,7.262521863524089,5.57775207654298,15.851108879146713,13.943024758544537,3.574,40.24776964430617,3.9043687519835064,14.275513572228427
HND,Honduras,2007,7,29.0903825,58.0674366,42.2492751,3.845791095614447,53.5090115392915,7.82223281251053,6.18832716678008,7.363747386198851,6.93621470895774,15.87408565169134,14.084774808833686,3.211,40.74227345777146,3.9297677046938286,14.29087575059464
HND,Honduras,2008,8,28.7789483,56.661228,40.2762108,4.036009344184905,51.3252766875914,8.65020371949481,4.23160011009342,7.457315320964593,11.4034270813932,15.896524238186435,14.260837840112352,3.156,39.94647422984811,3.680626939817346,14.262206350475086
HND,Honduras,2009,9,27.5983405,57.0346967,40.3345774,4.181586881946021,39.5302508197518,3.38987200238321,-2.43162787988011,7.485018452421594,5.49634273772208,15.91841212364088,14.278616074845276,3.292,37.75713242958455,2.8772332403540624,14.187257054193958
HND,Honduras,2010,10,27.5740405,55.1222766,39.8686011,4.324674171080007,45.7589061967483,3.83460574737835,3.73114034433009,7.54609099766531,4.69889064976226,15.939671848042664,14.49100331219122,4.119,37.827276770996946,3.0326145505212274,14.193765062486982
HND,Honduras,2011,11,28.2246925,56.9223322,39.3458484,4.432949443470343,51.2576866755535,5.88681418228473,3.83569066207505,7.637071024858434,6.7622795731476,15.960339830413591,14.43177723414492,4.474,39.20827691745575,3.4600394878843215,14.241188747408987
