country_code,country_name,year,control_corruption,political_stability,rule_of_law,homicide_rate,exports_percent_gdp,fdi_percent_gdp,gdp_growth,gdp_per_capita,inflation,population,tourist_arrivals,unemployment
CRI,Costa Rica,2023,61.5697363,86.1234989,68.0333663,17.7454798727379,38.9156320351491,5.4191807109794,5.11192183224598,16942.0268119375,0.525193508693455,5105525.0,,8.325
DOM,República Dominicana,2000,36.7998081,63.6298001,44.6542196,14.0956805476114,35.4978251417642,4.0689908919589,4.65172550299128,2831.45883638033,7.72413566181615,8584190.0,3161000.0,6.432
DOM,República Dominicana,2002,35.950275,63.162825,44.7024061,14.4483285859447,30.724010155589,3.41225986375611,4.48650367045651,3065.60329524196,5.22336769759446,8852235.0,3058000.0,6.779
DOM,República Dominicana,2003,30.5054317,55.718872,43.3697194,21.1789386478885,42.1529981602708,2.88055489904245,-1.34935744782766,2383.26171780393,27.4497127394394,8980620.0,3680000.0,6.938
DOM,República Dominicana,2004,33.3098417,58.1533844,46.0778597,24.5911758206467,41.1474766418853,4.18629057899448,2.58556667449577,2451.69161616569,51.4608598338065,9104892.0,3907000.0,6.303
DOM,República Dominicana,2005,30.6147401,59.2115536,47.322777,25.9511238657765,28.3311381514539,3.12598170087694,9.43178931977285,3878.31206735244,4.19020260472056,9225034.0,3981000.0,6.587
DOM,República Dominicana,2006,34.5887949,63.2623629,49.0826523,22.9521262431175,28.2249162691947,4.0356569620282,9.17120650955299,4055.14270347371,7.57280523853073,9341183.0,4268000.0,5.654
DOM,República Dominicana,2007,32.6530768,64.527305,48.7548159,22.3252575336375,26.7620220119612,5.12424998266344,7.41840577774235,4649.64558875814,6.14356655248047,9455658.0,4365000.0,5.158
DOM,República Dominicana,2008,32.7897739,65.4106236,47.1851378,25.0074949363479,23.9483515015273,5.67335967834237,3.26808671288212,5023.58513403515,10.6446210953711,9573130.0,4455000.0,4.764
DOM,República Dominicana,2009,33.2767873,64.886063,46.490686,24.4964939070773,21.0931826103163,3.51548540591409,1.00345293018719,4973.95186999952,1.44215131834353,9695265.0,4489000.0,5.467
DOM,República Dominicana,2010,32.4510258,64.9199956,45.6350077,25.1930337290323,22.7751186165488,3.38320513554667,8.40114541209596,5478.62470398954,6.32993220146146,9820175.0,4478000.0,5.212
DOM,República Dominicana,2011,33.542595,64.873245,46.5660671,25.2674003329003,24.3269602141381,3.79217588020774,3.19196227475523,5826.51014109195,5.79676809206533,9945621.0,4654000.0,6.087
DOM,República Dominicana,2012,32.032281,66.4306599,46.8745346,22.5214243986665,24.7666213993906,5.64036946601582,2.77567100848816,6013.81965002603,3.69449707884776,10070411.0,4901000.0,6.722
DOM,República Dominicana,2013,32.2508937,65.7284045,47.6363216,19.4038895577301,25.3838177066263,2.55757225532805,4.93473300709881,6136.59429329301,4.830950967408,10193833.0,5114000.0,7.351
DOM,República Dominicana,2014,32.5615749,66.8331451,49.8492033,17.5463639644216,25.4069026925032,3.55938801753347,7.11122629673892,6496.45166971142,2.99864226125218,10315528.0,5576000.0,6.719
DOM,República Dominicana,2016,31.7819762,68.5519931,47.7981194,15.3154603364407,24.1938670386292,3.33024928523507,6.71974078681295,7160.44200982307,1.61416607245222,10551430.0,6769000.0,7.284
DOM,República Dominicana,2017,31.6402349,67.4637175,47.3345164,11.3998115468654,24.1797519638034,4.55025610026855,3.93386176401576,7412.71571571512,3.27955694678546,10666843.0,7296000.0,5.832
DOM,República Dominicana,2018,30.7634121,65.9469346,47.5276274,9.90534873528498,23.993089643769,3.22902365102652,7.09751640210159,7882.98221584944,3.56443426013507,10782053.0,7551000.0,5.861
DOM,República Dominicana,2019,31.6185157,66.7744903,48.7017175,9.41799066618377,23.325332586795,3.17366550445317,4.8940301149584,8183.01623600375,1.81060377042959,10894043.0,7550000.0,6.356
DOM,República Dominicana,2020,33.553066,69.9277076,50.4017581,8.72977662309348,18.7972072415048,3.13265976088131,-7.92905234231061,7135.22273255899,3.78103179915516,11008300.0,2748000.0,6.126
DOM,República Dominicana,2021,36.8179688,71.8780557,51.3825289,10.5362752855436,21.5282997986043,3.53154938314388,14.0124289062207,8527.0754858205,8.24300347981809,11123476.0,,7.702
DOM,República Dominicana,2022,39.3094062,74.289238,52.190124,12.3678475675698,22.0261866198241,3.56897098132173,5.23795652902595,10104.2449349081,8.81109209279587,11230734.0,,5.504
DOM,República Dominicana,2023,39.1539431,73.8470193,52.8141789,10.9166976980638,21.3233165320401,3.94375586800192,2.19229848237939,10630.431743829,4.78561281021135,11331265.0,,5.555
GTM,Guatemala,2000,36.4253418,50.2131715,39.7765583,24.8256222306266,20.1950343956927,-4.08835554722306,3.6088687174876,3165.9323746889,5.97757734737136,11697592.0,826000.0,2.143
GTM,Guatemala,2002,31.6690548,49.2101143,39.2414173,29.6482816428349,26.7262767971618,-4.97449876130187,3.83928708556792,3213.26837369582,8.13263054281054,12246915.0,884000.0,2.254
GTM,Guatemala,2003,31.4200515,50.1020421,38.6392974,33.8260706875462,26.1810997164793,0.0903239703402523,2.56037766801896,3222.15468293683,5.60347675434469,12525842.0,880000.0,2.807
GTM,Guatemala,2004,35.8246135,49.8931273,41.5842466,35.1905874431052,27.4194097089723,1.36317570702825,3.13791683609193,3250.20406037693,7.57862247309729,12807402.0,1182000.0,2.971
GTM,Guatemala,2005,34.9110624,50.4675832,41.1657718,40.7866100416894,25.454901513817,2.01617500337249,3.27602692588886,3284.80971612832,9.1086498571922,13087629.0,1316000.0,3.059
GTM,Guatemala,2006,34.7665824,50.9033246,41.0857386,44.0248234172562,25.3398334344627,2.13587522888421,5.35139778711536,3388.15003339926,6.56085282795384,13367459.0,1502000.0,2.96
GTM,Guatemala,2007,35.460776,51.6469157,41.0928415,42.3453198203345,25.9805176037841,2.55959192771149,6.33771869016203,3527.7782721364,6.82161753590326,13652040.0,1628000.0,2.847
GTM,Guatemala,2008,38.5427601,52.6221145,40.6894949,45.1519299292567,25.1243459208619,1.89952208705823,3.29352400028485,3569.92861121538,11.355761126315,13935174.0,1715000.0,2.898
GTM,Guatemala,2009,37.4860387,52.2082581,41.2801954,45.7103110094951,24.3678264820599,1.34627822535543,0.476898106596394,3516.19227725255,1.85910254733028,14215611.0,1311000.0,3.22
GTM,Guatemala,2010,35.2860247,52.0388513,41.4796434,41.1031293722721,26.2254643341594,2.71030706792051,2.88417542800377,3546.6258162259,3.8595090983316,14500112.0,1384000.0,3.497
GTM,Guatemala,2011,36.6847937,53.0292715,39.1893325,38.4055692334411,27.0677057848772,1.87038244023626,4.16390688293349,3621.37409769184,6.214123930671,14792126.0,1434000.0,3.169
GTM,Guatemala,2012,32.2842052,53.6642168,40.422741,34.1624967821479,25.267092636425,2.82256297187213,2.97470856847661,3655.57315791242,3.78180754679678,15089647.0,1491000.0,2.765
GTM,Guatemala,2013,33.2766314,53.3610765,39.1168875,33.5015723155484,21.9981664670011,2.87216286478145,3.69481894978053,3717.30462628413,4.34337131279521,15387337.0,1516000.0,3.017
GTM,Guatemala,2014,30.2285619,53.4202728,40.4388382,33.4975903480006,21.7443606885213,2.43302117698753,4.44397783368888,3809.61587570091,3.4183616966296,15681725.0,1739000.0,2.717
GTM,Guatemala,2017,29.9629181,53.9242978,40.596175,32.8054740415143,18.4950394164293,1.39328931381397,3.07985126948702,3972.74057836068,4.42453655182546,16567357.0,2120000.0,2.462
GTM,Guatemala,2018,28.1792179,54.2170508,40.0835439,28.9035441420162,18.1693258488802,1.25790065429015,3.40687348346576,4040.2121371198,3.75186186704508,16845685.0,2406000.0,2.283
GTM,Guatemala,2019,27.5352234,54.0326157,39.6565997,25.9415998284592,17.6119727745274,1.51707073546928,4.01789785040324,4139.12203836307,3.69998398008605,17103803.0,2560000.0,2.193
GTM,Guatemala,2020,25.5915523,56.2626186,40.3404859,18.1882859775834,16.3436118075967,1.29230382378627,-1.78555175063326,4005.83911593999,3.21444062197345,17357325.0,594000.0,2.965
GTM,Guatemala,2021,23.2024743,56.0882035,40.1745041,20.2458705569498,17.6296569856584,4.19448571319716,8.04170378184928,4268.62858565412,4.26105127422813,17598650.0,,2.174
GTM,Guatemala,2022,23.2277115,60.7606088,39.1149668,22.0474401521257,18.9454999823063,1.51615526851124,4.18451817243695,4385.14891178047,6.88512823344287,17847877.0,,3.051
GTM,Guatemala,2023,25.8540445,62.441645,39.5678527,23.3657267272051,16.6062377966274,1.58123029170621,3.5331575177533,4470.70728455461,6.20657592272126,18124838.0,,2.344
HND,Honduras,2000,26.7639136,59.6687239,35.9375044,48.2838225250265,53.972182998888,4.8698431531529,9.61221881702615,1092.56400746252,11.0480349344976,6577773.0,689000.0,3.883
HND,Honduras,2002,25.385038,60.1190581,41.5566406,52.2131990441944,52.730582054494,3.6562173778393,3.75433786119939,1132.49965345317,7.69050972034271,6938859.0,788000.0,4.02
HND,Honduras,2003,26.8279275,55.9184893,39.888118,57.211379965735,54.0940274951722,4.74055553954205,4.54703805165397,1156.08162681357,7.67416639397937,7119213.0,887000.0,5.3
HND,Honduras,2004,27.8174511,55.3012132,42.8684267,49.8561822453764,58.4229834527808,6.67606399673031,6.23230296069102,1215.13995412761,8.1137909709338,7298994.0,1026000.0,5.99
HND,Honduras,2005,28.6746335,54.9385161,44.7406001,42.9506250338895,59.0058417153113,6.16028277171203,6.05059922215973,1304.70039153826,8.80906074819819,7478355.0,1118000.0,4.909
HND,Honduras,2006,28.9166008,54.7563767,41.9251493,40.7218024373527,56.0546420538277,6.57287305327357,6.56724355177587,1425.84780051892,5.57775207654298,7656832.0,1136000.0,3.574
HND,Honduras,2007,29.0903825,58.0674366,42.2492751,45.7956895764454,53.5090115392915,7.82223281251053,6.18832716678008,1577.73789197407,6.93621470895774,7834798.0,1309000.0,3.211
HND,Honduras,2008,28.7789483,56.661228,40.2762108,55.6000203180321,51.3252766875914,8.65020371949481,4.23160011009342,1732.49062702803,11.4034270813932,8012587.0,1561000.0,3.156
HND,Honduras,2009,27.5983405,57.0346967,40.3345774,64.4696634518731,39.5302508197518,3.38987200238321,-2.43162787988011,1781.15703614674,5.49634273772208,8189899.0,1589000.0,3.292
HND,Honduras,2010,27.5740405,55.1222766,39.8686011,74.5408954410341,45.7589061967483,3.83460574737835,3.73114034433009,1893.32722662035,4.69889064976226,8365878.0,1965000.0,4.119
HND,Honduras,2011,28.2246925,56.9223322,39.3458484,83.1793333078082,51.2576866755535,5.88681418228473,3.83569066207505,2073.66121088074,6.7622795731476,8540583.0,1852000.0,4.474
HND,Honduras,2012,25.6796455,57.1544917,36.4162734,82.2941714854712,50.9027988216362,5.83610988955542,4.12868774866939,2126.03474686503,5.19618615531848,8715076.0,1903000.0,3.755
HND,Honduras,2013,25.4661377,56.7397402,35.6509943,72.3455871413622,47.9414903194725,5.77862113948416,2.79155975746801,2081.12843527945,5.16189898581494,8889278.0,1857000.0,5.646
HND,Honduras,2014,28.3087415,54.1154324,36.7478307,64.9996731259012,47.5626547300206,8.62899693066618,3.0580805621437,2179.88171977271,6.12924930313022,9063122.0,2082000.0,7.078
HND,Honduras,2015,31.4353319,54.6121397,37.0515566,55.7305404552518,45.1667574562581,6.27594328427599,3.84007997093951,2271.20265980349,3.15783117980923,9237305.0,2093000.0,6.147
HND,Honduras,2016,29.1456034,53.8554146,36.6842303,54.7151729955654,42.7141047814182,5.28156973350556,3.89297219726413,2307.34468351082,2.72461223295289,9412380.0,2228000.0,6.727
HND,Honduras,2017,28.6864181,50.4087337,38.1934627,40.2998017393682,43.0938548370178,4.10592046689605,4.84291391050387,2413.0076562942,3.93436084442044,9588137.0,2144000.0,5.528
HND,Honduras,2018,28.2290627,51.1298505,38.14234,37.9817721287217,41.4548165613247,5.99386120691106,3.84499476966735,2464.64241531918,4.34734937777528,9765210.0,2323000.0,5.648
HND,Honduras,2019,26.4344138,51.7655593,38.4368702,41.0111655865032,40.2189637388964,3.83846408231678,2.55963434592314,2502.32744328073,4.36587159819267,9943633.0,2315000.0,5.698
HND,Honduras,2020,28.1678381,54.5120159,37.8437257,35.7028493255269,35.8751401030378,1.0106822391556,-8.96508223267296,2307.61494319511,3.46841177951184,10119640.0,669000.0,10.982
HND,Honduras,2021,25.1758094,52.1201836,37.3143589,38.2025965034663,39.3653983599255,2.84361329738544,12.5652843771279,2735.14751503977,4.48087963413445,10289877.0,,8.506
HND,Honduras,2022,26.9776015,57.7266194,38.1748769,34.9679353875888,42.4391817948962,2.41292398026651,4.14356194013767,3003.28996826399,9.08963911525025,10463872.0,,8.774
HND,Honduras,2023,25.6028349,59.9027299,37.0610655,31.4424316507577,37.3686804713719,3.16136364280263,3.57584760454412,3227.45762509776,6.66325180347457,10644851.0,,6.07
NIC,Nicaragua,2000,30.5290172,60.3426818,41.6351696,9.47710001137849,20.1081658866931,5.21568567857809,4.10159025073438,1017.3124434882,7.06991352252517,5022633.0,581000.0,7.181
NIC,Nicaragua,2002,31.1589843,59.5380496,46.1935501,10.7574705924444,18.8471358845682,3.90334311480045,0.753938876079573,1014.3339042591,3.75017465778466,5149909.0,579000.0,7.517
NIC,Nicaragua,2003,32.7728419,59.0118407,48.6352463,12.185846245133,20.704998914845,3.78225034215297,2.52073289551447,1021.35216668794,5.30238773219936,5210963.0,646000.0,7.6
NIC,Nicaragua,2004,36.6115679,58.191765,47.3846099,12.2512960818705,23.0598557398256,4.31560328721207,5.31217056950739,1098.62118662335,8.47021063584077,5272912.0,735000.0,6.41
NIC,Nicaragua,2005,33.5312557,59.2174417,47.6396381,13.6463048137106,24.3821308946094,3.81407422484717,4.28239833770654,1183.30214010175,9.59909986064425,5342105.0,804000.0,5.37
NIC,Nicaragua,2006,33.0788655,61.1300036,46.3233394,13.3238467052683,31.2666288650856,4.24030000066427,4.15294559846254,1248.17371577788,9.1401996677772,5418855.0,891000.0,5.31
