country_code,country,year,exports_percent_gdp,fdi_percent_gdp,gdp_growth,gdp_per_capita,inflation,population,tourist_arrivals,unemployment
HN,Honduras,2005,59.0058417153113,6.16028277171203,6.05059922215973,1304.70039153826,8.80906074819819,7478355.0,1118000.0,4.909
HN,Honduras,2006,56.0546420538277,6.57287305327357,6.56724355177587,1425.84780051892,5.57775207654298,7656832.0,1136000.0,3.574
HN,Honduras,2007,53.5090115392915,7.82223281251053,6.18832716678008,1577.73789197407,6.93621470895774,7834798.0,1309000.0,3.211
HN,Honduras,2008,51.3252766875914,8.65020371949481,4.23160011009342,1732.49062702803,11.4034270813932,8012587.0,1561000.0,3.156
HN,Honduras,2009,39.5302508197518,3.38987200238321,-2.43162787988011,1781.15703614674,5.49634273772208,8189899.0,1589000.0,3.292
HN,Honduras,2010,45.7589061967483,3.83460574737835,3.73114034433009,1893.32722662035,4.69889064976226,8365878.0,1965000.0,4.119
HN,Honduras,2011,51.2576866755535,5.88681418228473,3.83569066207505,2073.66121088074,6.7622795731476,8540583.0,1852000.0,4.474
HN,Honduras,2012,50.9027988216362,5.83610988955542,4.12868774866939,2126.03474686503,5.19618615531848,8715076.0,1903000.0,3.755
HN,Honduras,2013,47.9414903194725,5.77862113948416,2.79155975746801,2081.12843527945,5.16189898581494,8889278.0,1857000.0,5.646
HN,Honduras,2014,47.5626547300206,8.62899693066618,3.0580805621437,2179.88171977271,6.12924930313022,9063122.0,2082000.0,7.078
HN,Honduras,2015,45.1667574562581,6.27594328427599,3.84007997093951,2271.20265980349,3.15783117980923,9237305.0,2093000.0,6.147
HN,Honduras,2016,42.7141047814182,5.28156973350556,3.89297219726413,2307.34468351082,2.72461223295289,9412380.0,2228000.0,6.727
HN,Honduras,2017,43.0938548370178,4.10592046689605,4.84291391050387,2413.0076562942,3.93436084442044,9588137.0,2144000.0,5.528
HN,Honduras,2018,41.4548165613247,5.99386120691106,3.84499476966735,2464.64241531918,4.34734937777528,9765210.0,2323000.0,5.648
HN,Honduras,2019,40.2189637388964,3.83846408231678,2.55963434592314,2502.32744328073,4.36587159819267,9943633.0,2315000.0,5.698
HN,Honduras,2020,35.8751401030378,1.0106822391556,-8.96508223267296,2307.61494319511,3.46841177951184,10119640.0,669000.0,10.982
