country_code,country_name,year,time_trend,rule_of_law,control_corruption,political_stability,homicide_rate,homicide_rate_log,homicide_rate_lag1,homicide_rate_lag2,homicide_rate_lag3,homicide_rate_log_lag1,homicide_rate_log_lag2,homicide_rate_log_lag3,population,population_log,gdp_per_capita,gdp_per_capita_log,gdp_growth,inflation,unemployment,exports_percent_gdp,trade_percent_gdp,fdi_percent_gdp,tourist_arrivals,tourist_arrivals_log
DOM,República Dominicana,2006,6,49.0826523,34.5887949,63.2623629,22.9521262431175,3.176057098334621,25.9511238657765,24.5911758206467,21.1789386478885,3.294024998369607,3.2422475975587224,3.099143129013921,9341183.0,16.049943461713294,4055.14270347371,8.30774115790901,9.17120650955299,7.57280523853073,5.654,28.2249162691947,,4.0356569620282,4268000.0,15.266656125705534
DOM,República Dominicana,2007,7,48.7548159,32.6530768,64.527305,22.3252575336375,3.1495367877715976,22.9521262431175,25.9511238657765,24.5911758206467,3.176057098334621,3.294024998369607,3.2422475975587224,9455658.0,16.062123850461266,4649.64558875814,8.444546278205335,7.41840577774235,6.14356655248047,5.158,26.7620220119612,,5.12424998266344,4365000.0,15.289128976350888
DOM,República Dominicana,2008,8,47.1851378,32.7897739,65.4106236,25.0074949363479,3.2583847632632077,22.3252575336375,22.9521262431175,25.9511238657765,3.1495367877715976,3.176057098334621,3.294024998369607,9573130.0,16.07447077369631,5023.58513403515,8.521899127914168,3.26808671288212,10.6446210953711,4.764,23.9483515015273,,5.67335967834237,4455000.0,15.309537843353914
DOM,República Dominicana,2009,9,46.490686,33.2767873,64.886063,24.4964939070773,3.23854094887113,25.0074949363479,22.3252575336375,22.9521262431175,3.2583847632632077,3.1495367877715976,3.176057098334621,9695265.0,16.087148179962483,4973.95186999952,8.51196994799959,1.00345293018719,1.44215131834353,5.467,21.0931826103163,,3.51548540591409,4489000.0,15.317140740530808
DOM,República Dominicana,2010,10,45.6350077,32.4510258,64.9199956,25.1930337290323,3.2654934872076415,24.4964939070773,25.0074949363479,22.3252575336375,3.23854094887113,3.2583847632632077,3.1495367877715976,9820175.0,16.09994950094579,5478.62470398954,8.608609382019452,8.40114541209596,6.32993220146146,5.212,22.7751186165488,,3.38320513554667,4478000.0,15.314687299454791
DOM,República Dominicana,2011,11,46.5660671,33.542595,64.873245,25.2674003329003,3.268328639261243,25.1930337290323,24.4964939070773,25.0074949363479,3.2654934872076415,3.23854094887113,3.2583847632632077,9945621.0,16.112642911759615,5826.51014109195,8.670173496523594,3.19196227475523,5.79676809206533,6.087,24.3269602141381,,3.79217588020774,4654000.0,15.35323783771328
DOM,República Dominicana,2012,12,46.8745346,32.032281,66.4306599,22.5214243986665,3.157911682364466,25.2674003329003,25.1930337290323,24.4964939070773,3.268328639261243,3.2654934872076415,3.23854094887113,10070411.0,16.125112078161767,6013.81965002603,8.701815374742651,2.77567100848816,3.69449707884776,6.722,24.7666213993906,,5.64036946601582,4901000.0,15.404950027931655
DOM,República Dominicana,2013,13,47.6363216,32.2508937,65.7284045,19.4038895577301,3.0157255472705997,22.5214243986665,25.2674003329003,25.1930337290323,3.157911682364466,3.268328639261243,3.2654934872076415,10193833.0,16.137293487562335,6136.59429329301,8.722025191892458,4.93473300709881,4.830950967408,7.351,25.3838177066263,,2.55757225532805,5114000.0,15.4474926303749
DOM,República Dominicana,2014,14,49.8492033,32.5615749,66.8331451,17.5463639644216,2.9202737571408,19.4038895577301,22.5214243986665,25.2674003329003,3.0157255472705997,3.157911682364466,3.268328639261243,10315528.0,16.149160890768336,6496.45166971142,8.779011409860257,7.11122629673892,2.99864226125218,6.719,25.4069026925032,,3.55938801753347,5576000.0,15.53398241076251
DOM,República Dominicana,2016,16,47.7981194,31.7819762,68.5519931,15.3154603364407,2.7921131451814474,17.5463639644216,19.4038895577301,22.5214243986665,2.9202737571408,3.0157255472705997,3.157911682364466,10551430.0,16.17177195372465,7160.44200982307,8.876326991264788,6.71974078681295,1.61416607245222,7.284,24.1938670386292,,3.33024928523507,6769000.0,15.727864071223042
DOM,República Dominicana,2017,17,47.3345164,31.6402349,67.4637175,11.3998115468654,2.5176812746620674,15.3154603364407,17.5463639644216,19.4038895577301,2.7921131451814474,2.9202737571408,3.0157255472705997,10666843.0,16.18265070320925,7412.71571571512,8.910952144496719,3.93386176401576,3.27955694678546,5.832,24.1797519638034,,4.55025610026855,7296000.0,15.802836947797699
DOM,República Dominicana,2018,18,47.5276274,30.7634121,65.9469346,9.90534873528498,2.389253378535658,11.3998115468654,15.3154603364407,17.5463639644216,2.5176812746620674,2.7921131451814474,2.9202737571408,10782053.0,16.193393550581742,7882.98221584944,8.972461565044354,7.09751640210159,3.56443426013507,5.861,23.993089643769,,3.22902365102652,7551000.0,15.837190695218345
DOM,República Dominicana,2019,19,48.7017175,31.6185157,66.7744903,9.41799066618377,2.3435341833909193,9.90534873528498,11.3998115468654,15.3154603364407,2.389253378535658,2.5176812746620674,2.7921131451814474,10894043.0,16.203726684044828,8183.01623600375,9.009816094639277,4.8940301149584,1.81060377042959,6.356,23.325332586795,,3.17366550445317,7550000.0,15.83705825367553
DOM,República Dominicana,2020,20,50.4017581,33.553066,69.9277076,8.72977662309348,2.2751909383900357,9.41799066618377,9.90534873528498,11.3998115468654,2.3435341833909193,2.389253378535658,2.5176812746620674,11008300.0,16.214160091690886,7135.22273255899,8.872798746320544,-7.92905234231061,3.78103179915516,6.126,18.7972072415048,,3.13265976088131,2748000.0,14.82638429622533
DOM,República Dominicana,2021,21,51.3825289,36.8179688,71.8780557,10.5362752855436,2.4454964434291275,8.72977662309348,9.41799066618377,9.90534873528498,2.2751909383900357,2.3435341833909193,2.389253378535658,11123476.0,16.224568387868715,8527.0754858205,9.05100173126772,14.0124289062207,8.24300347981809,7.702,21.5282997986043,,3.53154938314388,,
